employee_id,first_name,last_name,email,job_title,department,hire_date,salary
82e0affd-0e02-4f2b-bce0-380f80d30609,Hector,Smith,mary58@smith.com,Psychotherapist,HR,1980-01-20,49314
626bb797-ca37-43d1-be9a-8034c03caf1d,Sharon,Moreno,gracewiley@vang.com,"Production designer, theatre/television/film",Finance,1973-03-05,40583
85c7cd04-9236-48b8-9fa6-701604a712f5,Audrey,Garcia,johnmiller@valdez-rogers.com,Location manager,Sales,2005-05-11,97074
eb664c01-959a-4a43-8a4b-bc38aaf3699e,Lauren,Bailey,nancy26@davis.info,"Physicist, medical",HR,1996-12-30,119283
ea2c4f74-ecf7-40ea-8786-8662e09c8cfa,Laurie,Martin,whitemackenzie@miranda-arellano.net,Tourism officer,Sales,1979-12-30,119867
8225c487-a8b0-49a8-8681-4816a2e80bad,Donna,Fischer,pamelapark@taylor.com,Psychotherapist,HR,1964-05-09,80969
7ccc5910-9fea-4f17-b79d-ddb83490f3c6,Sabrina,Green,ashley39@chen-reed.com,Chief Technology Officer,Engineering,1987-03-30,146524
3811b9e5-6b27-4663-9e19-76e39750ae29,Deborah,Rasmussen,acurry@martin.net,Sport and exercise psychologist,Finance,1978-11-29,65834
16069a59-436a-44b0-ba2d-877da08b7d9d,Stephanie,Everett,dixonjennifer@ferguson.com,"Designer, graphic",HR,1978-05-05,120729
9742ac5a-c22f-435a-bb9d-af552b099f8d,Nathaniel,Cooper,lukeharrington@tanner-hoffman.com,Oceanographer,HR,1973-07-06,63364
4a20c500-df74-4060-adc0-f6da318dbfd9,Brittany,Wilkerson,trevorhorn@johnson-miller.com,Science writer,Sales,1984-03-15,47142
3ff39efb-9180-42f7-bf27-5d21d3d5cbf1,Joseph,Harrington,luisalexander@mills-ayala.com,Equities trader,HR,2007-06-18,124265
68fd9371-e8b6-4be9-ae89-0410a4e897af,David,Burns,clarkshirley@hensley.com,Child psychotherapist,Finance,2000-11-16,144843
7c7a9168-f2bc-451c-b501-95a6f998dc77,Ann,Henry,birdmonique@sanchez.info,"Editor, film/video",Finance,1963-04-13,63120
359f1254-8c0d-46d8-8ce6-a0b3642a8227,Kevin,Coffey,paige16@spence.com,Herbalist,Marketing,1999-02-12,79794
eac862ff-5f19-4e3c-8243-00db867a8efd,Christian,Walters,oreynolds@franklin-hardy.com,Agricultural consultant,Engineering,1975-03-26,97234
d1089c7c-6c53-432c-b6da-28fe353bcad8,John,Weiss,michelle19@fletcher.com,Purchasing manager,HR,2001-12-06,98476
6ed2798e-098f-4a97-864f-d7bf6ede4545,Rachel,Jones,mitchelldonovan@flores-garcia.com,Amenity horticulturist,Sales,1978-04-14,110807
d74f717f-4cb3-454c-96dd-33a5ead8d968,David,Rodriguez,sortiz@stein-maldonado.com,Heritage manager,Finance,1966-04-29,82398
8c42d730-ba82-4948-9224-608f9c4fe679,Jeanne,Morgan,caseyjennifer@odonnell.com,Clinical biochemist,Sales,1971-01-03,131714
66f16c2e-78dc-4a44-b82b-60a1c040b9f0,Derrick,Estrada,marcusnorman@lambert.com,Medical secretary,Engineering,1992-03-02,91420
c71924f3-e472-4c9f-ad90-4a41081a2c96,Sandra,Sampson,jorge89@richard.com,Dramatherapist,Marketing,1989-05-26,94543
462f735b-24af-4338-8630-e63c12dc10eb,Teresa,Newman,zbaker@randolph.info,Nature conservation officer,Engineering,1990-08-25,51657
5407ba3e-c879-403c-890d-44b41fb5cec3,Jason,Roy,harriskevin@miller.info,Ceramics designer,Engineering,1983-03-25,91813
cfa0e635-2817-4447-aab7-ca419e5dfd7d,Amy,Matthews,scottjennifer@ramirez-serrano.com,Set designer,Finance,1990-11-15,136623
cfcb657a-df94-472d-b2ee-cc2dcd2931fb,Stephen,Rodriguez,maryflowers@oconnor.info,Estate manager/land agent,Finance,1998-10-09,78320
5d42ccbf-9780-4454-a2f3-e7e338461aec,Jeffrey,Pierce,blyons@vega.com,Leisure centre manager,Finance,1988-10-26,66680
45ecc038-445c-4b25-a07a-9342b898e77a,Pamela,Wagner,moorenicholas@neal.biz,"Nurse, children's",HR,1984-10-05,99162
381f7b80-9b1f-4eb8-9e59-ab15cd214041,Natalie,Castillo,contrerasmatthew@banks.com,"Buyer, industrial",HR,1992-06-22,100586
53e8e9fc-4fbe-4132-bfc5-eec2b967b38e,Andrea,Harris,jesse13@pittman.com,Sport and exercise psychologist,Engineering,1977-06-21,143749
458cba1f-e69f-46c0-b296-6ebbb0badf3e,Ryan,Small,traciperkins@anderson.info,"Engineer, chemical",HR,2001-01-31,93054
56d810a6-23b9-4d15-bd55-7df9dbee59bd,Dylan,Simmons,melanie95@miller.net,"Scientist, research (physical sciences)",Sales,2004-01-29,132656
6a5afea2-a14a-4bd9-b267-b2764effac9d,Alexis,Bishop,tiffanycarroll@anderson.net,Firefighter,Sales,1992-09-05,135287
c36437a2-e3ec-4f7a-8435-92222820e984,Casey,Cisneros,jordan37@andrews.net,Architectural technologist,Finance,1969-10-19,62571
a47c0d1b-72ca-461b-bb9b-fbfe60b04666,Judy,Sanders,cbradford@evans.com,Pathologist,Engineering,1968-12-10,70667
1c7bac94-0654-4342-9756-2b2384036bf4,Brent,Hale,alexis59@peterson.com,Scientific laboratory technician,Marketing,1972-08-31,54542
ade1f46f-bfc8-412b-80b1-70fa21876743,David,Wells,clarkgabriella@ross.biz,Airline pilot,HR,2005-03-29,48831
2122364c-0946-473c-bdf3-1daf8dd696cf,Donna,Holt,williampatterson@smith.com,Futures trader,Engineering,1985-03-07,105629
89e15c9e-cd3d-46e8-96a8-6bd8f79db505,Amy,Davis,chansen@petersen-sanchez.com,Chief Operating Officer,Engineering,1976-12-01,59517
07c28d3d-9d0e-41e8-a491-756b7ab6bd71,Karen,Wilson,adamrussell@hernandez.info,Architectural technologist,Engineering,1991-12-31,45193
1c2a9d8b-e353-4716-a00b-de4f8519a193,Kelsey,Mendoza,cjones@nelson-weaver.org,Trade mark attorney,Finance,1969-09-29,130896
8585f6c1-39b7-45be-a194-cd390a22380f,Christina,Roberts,kevin90@cross.com,Music therapist,Marketing,1973-10-15,72252
24d4f79e-1438-4517-ba06-2533cece217d,Janet,Simmons,zmarsh@taylor.com,Youth worker,Sales,1988-09-16,47124
7c2915eb-52ee-4ff9-a234-be6fadd78b77,Keith,Bailey,kevin94@collier.com,Architect,Engineering,1993-05-22,119845
09d3c84f-de9a-4865-b372-a97b38a3973e,Joshua,Simmons,connie60@anderson.com,Housing manager/officer,Marketing,1973-08-21,109005
4fb5d919-c394-439a-821e-e8a9ed864ef5,Sydney,Bowen,raysandra@schwartz.com,"Education officer, environmental",HR,1959-11-12,52321
41b48f7c-fa25-45c2-acff-9cac452db19b,Cassandra,Pratt,gpadilla@jacobs.biz,"Scientist, marine",Finance,1973-07-06,53163
beaa0cee-61d8-4164-9656-8b21d80c6dd4,Meghan,Schneider,eevans@montoya.com,Pensions consultant,Finance,2001-05-31,117272
baf5b15e-659d-489e-82d8-0a5701b9691c,Elijah,Graham,danderson@woods.org,Veterinary surgeon,Finance,1985-04-01,100659
e786654e-7e3a-434b-985b-fe76a9b0690d,Matthew,Holmes,ymendoza@lee.biz,Magazine journalist,Sales,1975-10-08,49998
4d014128-80de-4dc7-a6af-a3f02f7e637c,Timothy,Kidd,courtneygraham@salazar-english.com,Ophthalmologist,Finance,1967-12-26,91143
664746fc-a4aa-4e2a-88d6-6b2377fc17c1,Jennifer,Robinson,tracygonzales@santana-stewart.net,Patent examiner,Finance,1973-01-30,47517
b4d7d99d-c075-49c2-835d-d54fdadcd51e,David,Johnson,levi80@perry-weaver.com,Sports development officer,Sales,1977-06-20,87085
b1cfa9b6-7a69-4b48-92ba-5b8cbc7ebccd,Karen,Lewis,anthony18@armstrong.com,Travel agency manager,HR,1965-05-06,65240
a50792a2-4fc6-4cd7-9bf3-c9ab47deb6af,Kaitlin,Moore,jacob17@scott.biz,Catering manager,Engineering,1983-10-27,149824
4de1c284-c220-47a4-bcbd-eb39174741e0,Jesse,Robbins,drobinson@hicks.net,"Biochemist, clinical",HR,1997-05-06,105880
ef027a50-1582-441f-be59-6586a9a9668f,Anthony,Johnson,robinsonkayla@fitzgerald-chambers.com,Data processing manager,HR,2005-01-19,93693
6a96ade3-357c-4bc0-af3a-6dae3d7da4f1,Samantha,Davis,bsanchez@gallagher.com,Fashion designer,HR,1962-10-31,47014
80705191-09e6-4903-a1c4-dac15a79b9c6,Sarah,Johnson,nicolestewart@edwards.com,Technical author,Marketing,2002-09-13,42299
39caf4e1-e983-4eba-aaf7-3bfc383f3ad5,Paul,Hayden,umorales@lopez.com,"Engineer, aeronautical",Engineering,2001-05-04,138549
22816ec9-9793-42bd-8b1c-fc37e148c6cc,Melinda,Martin,martinapril@alvarez-scott.com,Passenger transport manager,Marketing,1997-11-15,89238
02967156-0d5a-4f4f-ba4c-034e94b90320,Bryan,Jones,millerbrian@bartlett-brown.com,Nutritional therapist,HR,1969-01-24,102096
